11/28/48,21, ,
12/21/48,8,,
01/23/49,18,,
02/03/49,2,,
03/20/49,13,,
11/02/49,12,,
12/11/49,9,,
01/20/50,1,,
02/05/50,33,,
03/03/50,5,,
03/08/50,3,    ,
11/12/50,13,    ,
12/03/50,12,,
12/19/50,4,    ,
12/31/50,10,,
01/25/51,19,,
03/01/51,20,,
11/09/51,12,,
12/21/51,2, ,
12/30/51,29,,
01/13/52,7,,
02/25/52,13,,
03/04/52,2,,
11/08/52,22,,
11/30/52,25,,
02/14/53,8,,
02/26/53,12,    ,
02/27/53,23,,
03/01/53,22,    ,
11/19/53,28,,
11/26/53,8,    ,
02/06/54,3, ,
02/08/54,15,,
02/09/54,3,,
02/13/54,9,,
02/22/54,7,,
02/25/54,9,,
12/01/54,3,,
12/25/54,8,,
01/03/55,2,,
01/05/55,21,,
01/13/55,6, ,
01/16/55,8,,
02/13/55,10,,
03/09/55,13,,
03/12/55,8,,
11/09/55,11,    ,
11/12/55,11,,
11/27/55,5,,
12/06/55,13,,
01/18/56,11, ,
01/28/56,23,,
02/11/56,15, ,
02/17/56,23,,
03/01/56,2,,
11/16/56,26,,
11/27/56,15,,
12/02/56,10,,
12/11/56,3,    ,
02/06/57,1,,
02/15/57,1,,
02/28/57,17,,
03/12/57,6,    ,
03/13/57,17,,
11/02/57,10,,
11/08/57,11,,
11/24/57,7,,
12/18/57,6,,
02/04/58,4,,
02/05/58,10,,
02/16/58,7,,
02/24/58,15, ,
03/02/58,10,    ,
11/06/58,2, ,
11/15/58,5,,
12/20/58,11, ,
12/29/58,2,,
01/04/59,16, ,
01/18/59,21,    ,
01/25/59,14,,
02/07/59,12,    ,
03/01/59,2,,
11/14/59,6,,
11/15/59,6,,
12/03/59,14,,
12/30/59,15,    ,
01/05/60,15, ,
01/31/60,10, ,
02/01/60,7, ,
02/20/60,16, ,
02/27/60,18, ,
10/28/60,2, ,
11/09/60,7, ,
11/27/60,7, ,
11/28/60,25, ,
11/29/60,1, ,
12/01/60,3, ,
01/21/61,25,    ,
02/26/61,5, ,
02/27/61,25, ,
02/28/61,15, ,
10/19/61,5, ,
10/20/61,7, ,
11/17/61,4, ,
12/01/61,21, ,
12/02/61,10, , 
12/08/61,4, , 
12/29/61,5, ,
01/01/62,3, ,
01/03/62,1, ,
11/03/62,12, ,
11/07/62,24, ,
11/23/62,5, ,
12/14/62,2, ,
12/15/62,9,  ,
01/11/63,5,    ,
01/12/63,5, , 
02/16/63,4, ,
02/19/63,2, ,
03/02/63,9, ,
03/12/63,6,    ,
03/16/63,6, , 
11/02/63,19, ,
11/08/63,3, , 
12/06/63,9, , 
12/08/63,2, ,
01/10/64,25,    ,
01/24/64,18,    ,
01/25/64,25, , 
01/26/64,12, ,
02/23/64,1, ,
03/07/64,2,    ,
03/13/64,3, ,
03/14/64,16, ,
10/23/64,2, ,
11/07/64,27, , 
11/28/64,3, ,
12/26/64,7, ,
01/30/65,10, ,
01/31/65,2,    ,
02/12/65,19, , 
02/13/65,24, ,
03/12/65,22, , 
03/20/65,14,    ,
10/15/65,7, ,
10/30/65,2, ,
11/19/65,11, , 
11/20/65,16, ,
12/19/65,12,    ,
01/14/66,8, ,
01/21/66,11, ,
03/05/66,2, , 
03/19/66,6, ,
03/20/66,12, ,
11/11/66,39,    ,
11/19/66,35, ,
12/09/66,1, ,
12/20/66,23, ,
01/05/67,31,  ,
01/11/67,15,    ,
02/03/67,49, , 
02/21/67,3, ,
03/11/67,5, ,
11/24/67,1, ,
11/25/67,19, ,
01/02/68,1, ,
01/20/68,29, ,
02/09/68,18, ,
02/16/68,2, , 
03/09/68,5, ,
03/13/68,36, ,
11/16/68,93, ,
11/22/68,2, ,
12/20/68,32, ,
02/01/69,5, , 
02/02/69,5, ,
03/02/69,15, ,
03/12/69,12, ,
11/22/69,8, ,
11/28/69,6, ,
12/30/69,5, ,
01/02/70,30, , 
01/22/70,14, ,
02/11/70,10, ,
03/10/70,2, , 
11/28/70,4, ,
12/04/70,22, ,
01/22/71,20, ,
01/30/71,2, ,
02/07/71,15, ,
02/27/71,5, ,
10/31/71,4, , 
11/06/71,16, ,
12/09/71,13, , 
12/17/71,30, ,
02/05/72,12,    ,
03/19/72,63, ,
10/27/72,28,    ,
12/02/72,9, ,
01/02/73,6, , 
01/26/73,16,    ,
01/27/73,15, , 
02/23/73,5, ,
03/28/73,7, ,
12/08/73,24, ,
12/29/73,2, ,
01/04/74,3, ,
03/03/74,4, ,
03/15/74,5, ,
03/16/74,30, ,
10/18/74,15, ,
11/10/74,3,    ,
11/30/74,10,    ,
01/21/75,30, ,
02/21/75,12, , 
03/16/75,16, ,
03/25/75,17, ,
11/08/75,8, ,
01/02/76,8, ,
01/03/76,31, , 
01/22/76,24, , 
03/05/76,7, ,
03/27/76,16, ,
04/04/76,7, , 
11/19/76,22, ,
12/04/76,2, , 
03/18/77,13, , 
04/05/77,29, ,
11/13/77,2, ,
12/27/77,41, , 
02/10/78,28, ,
02/19/78,22, ,
12/27/78,2, , 
01/21/79,6,    ,
02/07/79,2, ,
02/20/79,11,,
10/28/79,7, ,
11/07/79,17, , 
12/21/79,6, ,
01/16/80,1,,
03/18/80,13, ,
03/30/80,2, ,
10/19/80,18, , 
11/27/80,9, , 
12/06/80,16,,
12/14/80,9,,
03/22/81,2,,
03/24/81,7,,
12/13/81,4,,
12/17/81,5,,
02/02/82,2,,
02/19/82,20, ,
04/13/82,5,,
04/16/82,16,,
10/29/82,15,,
11/28/82,15,,
12/11/82,21,,
12/29/82,10,,
03/08/83,4,,
04/08/83,11,,
11/29/83,6,,
12/22/83,7,,
12/23/83,7,,
12/30/83,11,,
04/01/84,11,,
04/10/84,2,,
10/30/84,34,,
11/08/84,16,,
12/12/84,24,,
01/19/85,30,    ,
03/06/85,26, ,
04/11/85,7, ,
11/02/85,4, ,
12/29/85,8, ,
02/11/86,24, ,
03/03/86,10, ,
03/06/86,1, ,
03/30/86,7, ,
12/04/86,10, ,
12/07/86,32, ,
01/10/87,15, ,
01/15/87,20, ,
02/27/87,12, ,
03/03/87,5, , 
11/14/87,8, ,
12/17/87,7, ,
01/12/88,4, ,
03/04/88,13, , 
03/20/88,3, ,
04/24/88,36, ,
11/08/88,12, ,
02/08/89,3, ,
03/01/89,21,  ,
03/12/89,11, , 
04/08/89,6, , 
11/09/89,11, , 
12/29/89,19, , 
01/06/90,2, ,
03/09/90,16, ,
04/13/90,12, , 
11/18/90,22, ,
12/15/90,2, ,
01/04/91,16, ,
01/06/91,27, ,
04/17/91,7, ,
11/14/91,3, ,
12/30/91,15, ,
01/29/92,13, , 
02/17/92,16, , 
02/22/92,2,, 
11/10/92,1,, 
11/15/92,3, ,
03/03/93,6, ,
04/08/93,6,, 
04/18/93,3,, 
11/18/93,27, ,
12/12/93,3, ,
01/11/94,5, ,
04/12/94,11, ,
04/23/94,35,,
11/12/94,22,,
12/06/94,12, ,
12/27/94,24, ,
01/13/95,11, ,
03/15/95,11,,
11/11/95,18,,
01/30/96,10,    ,
03/14/96,3, ,
04/12/96,13, ,
11/19/96,3,,
01/24/97,17, ,
03/12/97,8, ,
04/08/97,24, ,
11/09/97,35,,
12/10/97,1,,
02/11/98,6, ,
04/11/98,12,,
03/12/99,11, ,
04/03/99,5, ,
04/20/99,4,,
12/01/99,18, ,
03/09/00,17, ,
03/22/00,23, ,
04/05/00,7, ,
11/22/00,20,,
12/06/00,3, ,
03/04/01,15, ,
03/06/01,12, ,
11/23/01,16, ,
12/16/01,16, ,
12/26/01,11, ,
03/14/02,8, ,
11/15/02,7,,
12/10/02,4, ,
01/22/03,103,,
04/16/03,6, ,
11/02/03,15, ,
12/23/03,9,,
02/18/04,1,,
04/13/04,5, ,
12/03/04,9,,
01/15/05,2, ,
01/21/05,4, ,
04/18/05,27,,
01/14/06,6,,
01/27/06,1,,
03/03/06,12, ,
04/11/06,11, ,
11/01/06,12, ,
01/22/07,5, ,
02/25/07,17, ,
03/25/07,2, ,
12/09/07,10,,
12/14/07,2, ,
03/23/08,4,,
03/24/08,4, ,
12/28/08,17, ,
01/07/09,8,,
02/18/09,8,,
03/19/09,8, ,
11/28/09,33, ,
12/29/09,6,,
02/16/10,10,,
03/15/10,3,,
10/31/10,24,,
11/21/10,28,,
01/12/11,5,,
04/06/11,8,,
01/06/12,7,,
03/27/12,3,,
04/01/12,8,,
04/18/12,12,,
11/09/12,24,,
12/22/12,3,,
03/25/13,6,,
04/12/13,2,,
10/30/13,31,,
11/22/13,7,,
12/21/13,19,,
04/11/14,17,,
11/01/14,23,,
11/16/14,21,,
12/23/14,10,,
03/16/15,3,,
11/24/15,34,,
01/05/16,21,,
01/14/16,18,,
03/06/16,17,,
11/04/16,20,,
11/23/16,43,,
11/25/16,24,,
04/12/17,15,,
11/29/17,4,,
12/18/17,2,,
12/22/17,7,,
03/14/18,11,,
